city,data_provider,table,intersection_id,intersection,intersection_name,intersection_lat,intersection_long,publish_timestamp,bin_start_date_time,bin_end_date_time,direction,crosswalk_approach,classification,yellow_light_runners,red_light_runners,original_content
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1774983045241000,1774808640000000,1774808700000000,CW,S,[Pedestrian],1,0,"{binStartDateTime=2026-03-29T18:24:00Z, binEndDateTime=2026-03-29T18:25:00Z, direction=CW, crosswalkApproach=S, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1774983045241000,1774808760000000,1774808820000000,CCW,E,[Pedestrian],1,0,"{binStartDateTime=2026-03-29T18:26:00Z, binEndDateTime=2026-03-29T18:27:00Z, direction=CCW, crosswalkApproach=E, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1774983045242000,1774808880000000,1774808940000000,CCW,E,[Pedestrian],1,0,"{binStartDateTime=2026-03-29T18:28:00Z, binEndDateTime=2026-03-29T18:29:00Z, direction=CCW, crosswalkApproach=E, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1774983045242000,1774808880000000,1774808940000000,CW,W,[Pedestrian],1,0,"{binStartDateTime=2026-03-29T18:28:00Z, binEndDateTime=2026-03-29T18:29:00Z, direction=CW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1774785037021000,1774610640000000,1774610700000000,CW,W,[Pedestrian],1,0,"{binStartDateTime=2026-03-27T11:24:00Z, binEndDateTime=2026-03-27T11:25:00Z, direction=CW, crosswalkApproach=W, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1774785037021000,1774611120000000,1774611180000000,CW,E,[Pedestrian],1,0,"{binStartDateTime=2026-03-27T11:32:00Z, binEndDateTime=2026-03-27T11:33:00Z, direction=CW, crosswalkApproach=E, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775078386448000,1774903680000000,1774903740000000,CW,E,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T20:48:00Z, binEndDateTime=2026-03-30T20:49:00Z, direction=CW, crosswalkApproach=E, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775078386448000,1774903740000000,1774903800000000,CW,S,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T20:49:00Z, binEndDateTime=2026-03-30T20:50:00Z, direction=CW, crosswalkApproach=S, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775078386449000,1774903800000000,1774903860000000,CCW,S,[Pedestrian],0,1,"{binStartDateTime=2026-03-30T20:50:00Z, binEndDateTime=2026-03-30T20:51:00Z, direction=CCW, crosswalkApproach=S, classification=Pedestrian, yellowLightRunners=0, redLightRunners=1}"
alexandria,miovision,alexandria.safety-pedcompliance,bec6ce8d-823d-4a5c-b0fc-7d5437383c9e,glebe-mount_vernon-dqchymvxt,West Glebe Road and Mount Vernon Avenue,38.83658931,-77.06128548,1775078386449000,1774903920000000,1774903980000000,CCW,E,[Pedestrian],1,0,"{binStartDateTime=2026-03-30T20:52:00Z, binEndDateTime=2026-03-30T20:53:00Z, direction=CCW, crosswalkApproach=E, classification=Pedestrian, yellowLightRunners=1, redLightRunners=0}"
